Date,Closing Price
2022-04-24,102.96
2022-04-17,101.22
2022-04-10,100.32
2022-04-03,99.8
2022-03-27,98.63
2022-03-20,98.79
2022-03-13,98.23
2022-03-06,99.12
2022-02-27,98.65
2022-02-20,96.61
2022-02-13,96.04
2022-02-06,96.08
2022-01-30,95.49
2022-01-23,97.27
2022-01-16,95.64
2022-01-09,95.17
2022-01-02,95.72
2021-12-26,95.97
2021-12-19,96.02
2021-12-12,96.57
2021-12-05,96.1
2021-11-28,96.12
2021-11-21,96.09
2021-11-14,96.03
2021-11-07,95.13
2021-10-31,94.32
2021-10-24,94.12
2021-10-17,93.64
2021-10-10,93.94
2021-10-03,94.07
2021-09-26,94.04
2021-09-19,93.33
2021-09-12,93.19
2021-09-05,92.58
2021-08-29,92.04
2021-08-22,92.69
2021-08-15,93.5
2021-08-08,92.52
2021-08-01,92.8
2021-07-25,92.17
2021-07-18,92.91
2021-07-11,92.69
2021-07-04,92.13
2021-06-27,92.23
2021-06-20,91.85
2021-06-13,92.22
2021-06-06,90.56
2021-05-30,90.14
2021-05-23,90.03
2021-05-16,90.02
2021-05-09,90.32
2021-05-02,90.23
2021-04-25,91.28
2021-04-18,90.86
2021-04-11,91.56
2021-04-04,92.16
2021-03-28,93.02
2021-03-21,92.77
2021-03-14,91.92
2021-03-07,91.68
2021-02-28,91.98
2021-02-21,90.88
2021-02-14,90.36
2021-02-07,90.48
2021-01-31,91.04
2021-01-24,90.58
2021-01-17,90.24
2021-01-10,90.77
2021-01-03,90.1
2020-12-27,89.94
2020-12-20,90.32
2020-12-13,90.02
2020-12-06,90.98
2020-11-29,90.7
2020-11-22,91.79
2020-11-15,92.39
2020-11-08,92.75
2020-11-01,92.23
2020-10-25,94.04
2020-10-18,92.77
2020-10-11,93.68
2020-10-04,93.06
2020-09-27,93.84
2020-09-20,94.64
2020-09-13,92.93
2020-09-06,93.33
2020-08-30,92.72
2020-08-23,92.37
2020-08-16,93.25
2020-08-09,93.1
2020-08-02,93.43
2020-07-26,93.35
2020-07-19,94.44
2020-07-12,95.94
2020-07-05,96.65
2020-06-28,97.17
2020-06-21,97.43
2020-06-14,97.62
2020-06-07,97.32
2020-05-31,96.94
2020-05-24,98.34
2020-05-17,99.86
2020-05-10,100.4
2020-05-03,99.73
2020-04-26,99.08
2020-04-19,100.38
2020-04-12,99.78
2020-04-05,99.52
2020-03-29,100.58
2020-03-22,98.36
2020-03-15,102.82
2020-03-08,98.75
2020-03-01,95.95
2020-02-23,98.13
2020-02-16,99.26
2020-02-09,99.12
2020-02-02,98.68
2020-01-26,97.39
2020-01-19,97.85
2020-01-12,97.64
2020-01-05,97.36
2019-12-29,96.84
2019-12-22,96.92
2019-12-15,97.69
2019-12-08,97.17
2019-12-01,97.7
2019-11-24,98.27
2019-11-17,98.27
2019-11-10,98
2019-11-03,98.35
2019-10-27,97.24
