Date,N225,Date,NYA,Date,IXIC,Date,GSPTSE,Date,HSI
2008-01-04,null,2008-01-02,9647.5,2008-01-02,2609.629883,2008-01-02,13926.79981,2008-01-02,27560.51953
2008-01-07,14500.54981,2008-01-03,9656,2008-01-03,2602.679932,2008-01-03,13978.2002,2008-01-03,26887.2793
2008-01-08,14528.66992,2008-01-04,9432.030273,2008-01-04,2504.649902,2008-01-04,13778.59961,2008-01-04,27519.68945
2008-01-09,14599.16016,2008-01-07,9462.240234,2008-01-07,2499.459961,2008-01-07,13618.90039,2008-01-07,27179.49023
2008-01-10,14388.11035,2008-01-08,9326.080078,2008-01-08,2440.51001,2008-01-08,13541.79981,2008-01-08,27112.90039
2008-01-11,14110.79004,2008-01-09,9424.69043,2008-01-09,2474.550049,2008-01-09,13579.90039,2008-01-09,27615.84961
2008-01-15,13972.62988,2008-01-10,9490.759766,2008-01-10,2488.52002,2008-01-10,13642.7002,2008-01-10,27230.85938
2008-01-16,13504.50977,2008-01-11,9347.469727,2008-01-11,2439.939941,2008-01-11,13632.59961,2008-01-11,26867.00977
2008-01-17,13783.4502,2008-01-14,9439.339844,2008-01-14,2478.300049,2008-01-14,13698.29981,2008-01-14,26468.13086
2008-01-18,13861.29004,2008-01-15,9172.169922,2008-01-15,2417.590088,2008-01-15,13316.79981,2008-01-15,25837.7793
2008-01-21,13325.94043,2008-01-16,9073.429688,2008-01-16,2394.590088,2008-01-16,13074.90039,2008-01-16,24450.84961
2008-01-22,12573.04981,2008-01-17,8818.950195,2008-01-17,2346.899902,2008-01-17,12795.59961,2008-01-17,25114.98047
2008-01-23,12829.05957,2008-01-18,8794.860352,2008-01-18,2340.02002,2008-01-18,12737.09961,2008-01-18,25201.86914
2008-01-24,13092.78027,2008-01-22,8661.169922,2008-01-22,2292.27002,2008-01-21,12132.09961,2008-01-21,23818.85938
2008-01-25,13629.16016,2008-01-23,8805.679688,2008-01-23,2316.409912,2008-01-22,12640.90039,2008-01-22,21757.63086
2008-01-28,13087.91016,2008-01-24,8942.25,2008-01-24,2360.919922,2008-01-23,12657.40039,2008-01-23,24090.16992
2008-01-29,13478.86035,2008-01-25,8827.5,2008-01-25,2326.199951,2008-01-24,12907.29981,2008-01-24,23539.26953
