Date,Closing Price
2022년 04월 29일,104.69
2022년 04월 28일,105.36
2022년 04월 27일,102.02
2022년 04월 26일,101.7
2022년 04월 25일,98.54
2022년 04월 22일,102.07
2022년 04월 21일,103.79
2022년 04월 20일,102.75
2022년 04월 19일,102.56
2022년 04월 18일,108.21
2022년 04월 14일,106.95
2022년 04월 13일,104.25
2022년 04월 12일,100.6
2022년 04월 11일,94.29
2022년 04월 08일,98.26
2022년 04월 07일,96.03
2022년 04월 06일,96.23
2022년 04월 05일,101.96
2022년 04월 04일,103.28
2022년 04월 01일,99.27
2022년 03월 31일,100.28
2022년 03월 30일,107.82
2022년 03월 29일,104.24
2022년 03월 28일,105.96
2022년 03월 25일,113.9
2022년 03월 24일,112.34
2022년 03월 23일,114.93
2022년 03월 22일,111.76
2022년 03월 21일,112.12
2022년 03월 18일,104.7
2022년 03월 17일,102.98
2022년 03월 16일,95.04
2022년 03월 15일,96.44
2022년 03월 14일,103.01
2022년 03월 11일,109.33
2022년 03월 10일,106.02
2022년 03월 09일,108.7
2022년 03월 08일,123.7
2022년 03월 07일,119.4
2022년 03월 04일,115.68
2022년 03월 03일,107.67
2022년 03월 02일,110.6
2022년 03월 01일,103.41
2022년 02월 28일,95.72
2022년 02월 25일,91.59
2022년 02월 24일,92.81
2022년 02월 23일,92.1
2022년 02월 22일,92.35
2022년 02월 21일,92.65
2022년 02월 20일,91.62
2022년 02월 18일,91.07
2022년 02월 17일,91.76
2022년 02월 16일,93.66
2022년 02월 15일,92.07
2022년 02월 14일,95.46
2022년 02월 11일,93.1
2022년 02월 10일,89.88
2022년 02월 09일,89.66
2022년 02월 08일,89.36
2022년 02월 07일,91.32
2022년 02월 04일,92.31
2022년 02월 03일,90.27
2022년 02월 02일,88.26
2022년 02월 01일,88.2
2022년 01월 31일,88.15
2022년 01월 28일,86.82
2022년 01월 27일,86.61
2022년 01월 26일,87.35
2022년 01월 25일,85.6
2022년 01월 24일,83.31
2022년 01월 21일,85.14
2022년 01월 20일,86.9
2022년 01월 19일,86.96
2022년 01월 18일,85.43
2022년 01월 17일,83.69
2022년 01월 16일,83.83
2022년 01월 14일,83.82
2022년 01월 13일,82.12
2022년 01월 12일,82.64
2022년 01월 11일,81.22
2022년 01월 10일,78.23
2022년 01월 07일,78.9
2022년 01월 06일,79.46
2022년 01월 05일,77.85
2022년 01월 04일,76.99
2022년 01월 03일,76.08
2021년 12월 31일,75.21
2021년 12월 30일,76.99
2021년 12월 29일,76.56
2021년 12월 28일,75.98
2021년 12월 27일,75.57
2021년 12월 23일,73.79
2021년 12월 22일,72.76
2021년 12월 21일,71.12
2021년 12월 20일,68.23
2021년 12월 17일,70.86
2021년 12월 16일,72.38
2021년 12월 15일,70.87
2021년 12월 14일,70.73
2021년 12월 13일,71.29
2021년 12월 10일,71.67
2021년 12월 09일,70.94
2021년 12월 08일,72.36
2021년 12월 07일,72.05
2021년 12월 06일,69.49
2021년 12월 03일,66.26
2021년 12월 02일,66.5
2021년 12월 01일,65.57
2021년 11월 30일,66.18
2021년 11월 29일,69.95
2021년 11월 26일,68.15
2021년 11월 25일,77.41
2021년 11월 24일,78.39
2021년 11월 23일,78.5
2021년 11월 22일,76.75
2021년 11월 19일,76.1
2021년 11월 18일,79.01
2021년 11월 17일,78.36
2021년 11월 16일,80.76
2021년 11월 15일,80.88
2021년 11월 12일,80.79
2021년 11월 11일,81.59
2021년 11월 10일,81.34
2021년 11월 09일,84.15
2021년 11월 08일,81.93
2021년 11월 05일,81.27
2021년 11월 04일,78.81
2021년 11월 03일,80.86
2021년 11월 02일,83.91
2021년 11월 01일,84.05
2021년 10월 29일,83.57
2021년 10월 28일,82.81
2021년 10월 27일,82.66
2021년 10월 26일,84.65
2021년 10월 25일,83.76
2021년 10월 22일,83.76
2021년 10월 21일,82.5
2021년 10월 20일,83.87
2021년 10월 19일,82.96
2021년 10월 18일,82.44
2021년 10월 15일,82.28
2021년 10월 14일,81.31
2021년 10월 13일,80.44
2021년 10월 12일,80.64
2021년 10월 11일,80.52
2021년 10월 08일,79.35
2021년 10월 07일,78.3
2021년 10월 06일,77.43
2021년 10월 05일,78.93
2021년 10월 04일,77.62
2021년 10월 01일,75.88
2021년 09월 30일,75.03
2021년 09월 29일,74.83
2021년 09월 28일,75.29
2021년 09월 27일,75.45
2021년 09월 24일,73.98
2021년 09월 23일,73.3
2021년 09월 22일,72.23
2021년 09월 21일,70.56
2021년 09월 20일,70.29
2021년 09월 17일,71.97
2021년 09월 16일,72.61
2021년 09월 15일,72.61
2021년 09월 14일,70.46
2021년 09월 13일,70.45
2021년 09월 10일,69.72
2021년 09월 09일,68.14
2021년 09월 08일,69.3
2021년 09월 07일,68.35
2021년 09월 06일,68.8
2021년 09월 05일,68.75
2021년 09월 03일,69.29
2021년 09월 02일,69.99
2021년 09월 01일,68.59
2021년 08월 31일,68.5
2021년 08월 30일,69.21
2021년 08월 27일,68.74
2021년 08월 26일,67.42
2021년 08월 25일,68.36
2021년 08월 24일,67.54
2021년 08월 23일,65.64
2021년 08월 20일,62.32
2021년 08월 19일,63.69
2021년 08월 18일,65.46
2021년 08월 17일,66.59
2021년 08월 16일,67.29
2021년 08월 13일,68.44
2021년 08월 12일,69.09
2021년 08월 11일,69.25
2021년 08월 10일,68.29
2021년 08월 09일,66.48
2021년 08월 06일,68.28
2021년 08월 05일,69.09
2021년 08월 04일,68.15
2021년 08월 03일,70.56
2021년 08월 02일,71.26
2021년 07월 30일,73.95
2021년 07월 29일,73.62
2021년 07월 28일,72.39
2021년 07월 27일,71.65
2021년 07월 26일,71.91
2021년 07월 23일,72.07
2021년 07월 22일,71.91
2021년 07월 21일,70.3
2021년 07월 20일,67.42
2021년 07월 19일,66.42
2021년 07월 16일,71.81
2021년 07월 15일,71.65
2021년 07월 14일,73.13
2021년 07월 13일,75.25
2021년 07월 12일,74.1
2021년 07월 09일,74.56
2021년 07월 08일,72.94
