Date,Closing Price
2022년 4월,104.69
2022년 3월,100.28
2022년 2월,95.72
2022년 1월,88.15
2021년 12월,75.21
2021년 11월,66.18
2021년 10월,83.57
2021년 9월,75.03
2021년 8월,68.5
2021년 7월,73.95
2021년 6월,73.47
2021년 5월,66.32
2021년 4월,63.58
2021년 3월,59.16
2021년 2월,61.5
2021년 1월,52.2
2020년 12월,48.52
2020년 11월,45.34
2020년 10월,35.79
2020년 9월,40.22
2020년 8월,42.61
2020년 7월,40.27
2020년 6월,39.27
2020년 5월,35.49
2020년 4월,18.84
2020년 3월,20.48
2020년 2월,44.76
2020년 1월,51.56
2019년 12월,61.06
2019년 11월,55.17
2019년 10월,54.18
2019년 9월,54.07
2019년 8월,55.1
2019년 7월,58.58
2019년 6월,58.47
2019년 5월,53.5
2019년 4월,63.91
2019년 3월,60.14
2019년 2월,57.22
2019년 1월,53.79
2018년 12월,45.41
2018년 11월,50.93
2018년 10월,65.31
2018년 9월,73.25
2018년 8월,69.8
2018년 7월,68.76
2018년 6월,74.15
2018년 5월,67.04
2018년 4월,68.57
2018년 3월,64.94
2018년 2월,61.64
2018년 1월,64.73
2017년 12월,60.42
2017년 11월,57.4
2017년 10월,54.38
2017년 9월,51.67
2017년 8월,47.23
2017년 7월,50.17
2017년 6월,46.04
2017년 5월,48.32
2017년 4월,49.33
2017년 3월,50.6
2017년 2월,54.01
2017년 1월,52.81
2016년 12월,53.72
2016년 11월,49.44
2016년 10월,46.86
2016년 9월,48.24
2016년 8월,44.7
2016년 7월,41.6
2016년 6월,48.33
2016년 5월,49.1
2016년 4월,45.92
2016년 3월,38.34
2016년 2월,33.75
2016년 1월,33.62
2015년 12월,37.04
2015년 11월,41.65
2015년 10월,46.59
2015년 9월,45.09
2015년 8월,49.2
2015년 7월,47.12
2015년 6월,59.47
2015년 5월,60.3
2015년 4월,59.63
2015년 3월,47.6
2015년 2월,49.76
2015년 1월,48.24
2014년 12월,53.27
2014년 11월,66.15
2014년 10월,80.54
2014년 9월,91.16
2014년 8월,95.96
2014년 7월,98.17
2014년 6월,105.37
2014년 5월,102.71
2014년 4월,99.74
2014년 3월,101.58
2014년 2월,102.59
2014년 1월,97.49
2013년 12월,98.42
2013년 11월,92.72
2013년 10월,96.38
2013년 9월,102.33
2013년 8월,107.65
2013년 7월,105.03
2013년 6월,96.56
2013년 5월,91.97
2013년 4월,93.46
2013년 3월,97.23
2013년 2월,92.05
2013년 1월,97.49
2012년 12월,91.82
2012년 11월,88.91
2012년 10월,86.24
2012년 9월,92.19
2012년 8월,96.47
2012년 7월,88.06
2012년 6월,84.96
2012년 5월,86.53
2012년 4월,104.87
2012년 3월,103.02
2012년 2월,107.07
2012년 1월,98.48
2011년 12월,98.83
2011년 11월,100.36
2011년 10월,93.19
2011년 9월,79.2
2011년 8월,88.81
2011년 7월,95.7
2011년 6월,95.42
2011년 5월,102.7
2011년 4월,113.93
2011년 3월,106.72
2011년 2월,96.97
2011년 1월,92.19
2010년 12월,91.38
2010년 11월,84.11
2010년 10월,81.43
2010년 9월,79.97
2010년 8월,71.92
2010년 7월,78.95
2010년 6월,75.63
2010년 5월,73.97
2010년 4월,86.15
2010년 3월,83.76
2010년 2월,79.66
2010년 1월,72.89
2009년 12월,79.36
2009년 11월,77.28
2009년 10월,77
2009년 9월,70.61
2009년 8월,69.96
2009년 7월,69.45
2009년 6월,69.89
2009년 5월,66.31
2009년 4월,51.12
2009년 3월,49.66
2009년 2월,44.76
2009년 1월,41.68
2008년 12월,44.6
2008년 11월,54.43
2008년 10월,67.81
2008년 9월,100.64
2008년 8월,115.46
2008년 7월,124.08
2008년 6월,140
2008년 5월,127.35
2008년 4월,113.46
2008년 3월,101.58
2008년 2월,101.84
2008년 1월,91.75
