Date,Closing Price
2022년 04월 24일,104.69
2022년 04월 17일,102.07
2022년 04월 10일,106.95
2022년 04월 03일,98.26
2022년 03월 27일,99.27
2022년 03월 20일,113.9
2022년 03월 13일,104.7
2022년 03월 06일,109.33
2022년 02월 27일,115.68
2022년 02월 20일,91.59
2022년 02월 13일,91.07
2022년 02월 06일,93.1
2022년 01월 30일,92.31
2022년 01월 23일,86.82
2022년 01월 16일,85.14
2022년 01월 09일,83.82
2022년 01월 02일,78.9
2021년 12월 26일,75.21
2021년 12월 19일,73.79
2021년 12월 12일,70.86
2021년 12월 05일,71.67
2021년 11월 28일,66.26
2021년 11월 21일,68.15
2021년 11월 14일,76.1
2021년 11월 07일,80.79
2021년 10월 31일,81.27
2021년 10월 24일,83.57
2021년 10월 17일,83.76
2021년 10월 10일,82.28
2021년 10월 03일,79.35
2021년 09월 26일,75.88
2021년 09월 19일,73.98
2021년 09월 12일,71.97
2021년 09월 05일,69.72
2021년 08월 29일,69.29
2021년 08월 22일,68.74
2021년 08월 15일,62.32
2021년 08월 08일,68.44
2021년 08월 01일,68.28
2021년 07월 25일,73.95
2021년 07월 18일,72.07
2021년 07월 11일,71.81
2021년 07월 04일,74.56
2021년 06월 27일,75.16
2021년 06월 20일,74.05
2021년 06월 13일,71.64
2021년 06월 06일,70.91
2021년 05월 30일,69.62
2021년 05월 23일,66.32
2021년 05월 16일,63.58
2021년 05월 09일,65.37
2021년 05월 02일,64.9
2021년 04월 25일,63.58
2021년 04월 18일,62.14
2021년 04월 11일,63.13
2021년 04월 04일,59.32
2021년 03월 28일,61.45
2021년 03월 21일,60.97
2021년 03월 14일,61.42
2021년 03월 07일,65.61
2021년 02월 28일,66.09
2021년 02월 21일,61.5
2021년 02월 14일,59.24
2021년 02월 07일,59.47
2021년 01월 31일,56.85
2021년 01월 24일,52.2
2021년 01월 17일,52.27
2021년 01월 10일,52.36
2021년 01월 03일,52.24
2020년 12월 27일,48.52
2020년 12월 20일,48.23
2020년 12월 13일,49.1
2020년 12월 06일,46.57
2020년 11월 29일,46.26
2020년 11월 22일,45.53
2020년 11월 15일,42.15
2020년 11월 08일,40.13
2020년 11월 01일,37.14
2020년 10월 25일,35.79
2020년 10월 18일,39.85
2020년 10월 11일,40.88
2020년 10월 04일,40.6
2020년 09월 27일,37.05
2020년 09월 20일,40.25
2020년 09월 13일,41.11
2020년 09월 06일,37.33
2020년 08월 30일,39.77
2020년 08월 23일,42.97
2020년 08월 16일,42.34
2020년 08월 09일,42.01
2020년 08월 02일,41.22
2020년 07월 26일,40.27
2020년 07월 19일,41.29
2020년 07월 12일,40.59
2020년 07월 05일,40.55
2020년 06월 28일,40.65
2020년 06월 21일,38.49
2020년 06월 14일,39.75
2020년 06월 07일,36.26
2020년 05월 31일,39.55
2020년 05월 24일,35.49
2020년 05월 17일,33.25
2020년 05월 10일,29.43
2020년 05월 03일,24.74
2020년 04월 26일,19.78
2020년 04월 19일,16.94
2020년 04월 12일,18.27
2020년 04월 05일,22.76
2020년 03월 29일,28.34
2020년 03월 22일,21.51
2020년 03월 15일,22.43
2020년 03월 08일,31.73
2020년 03월 01일,41.28
2020년 02월 23일,44.76
2020년 02월 16일,53.38
2020년 02월 09일,52.05
2020년 02월 02일,50.32
2020년 01월 26일,51.56
2020년 01월 19일,54.19
2020년 01월 12일,58.54
2020년 01월 05일,59.04
2019년 12월 29일,63.05
2019년 12월 22일,61.72
2019년 12월 15일,60.44
2019년 12월 08일,60.07
2019년 12월 01일,59.2
2019년 11월 24일,55.17
2019년 11월 17일,57.77
2019년 11월 10일,57.72
2019년 11월 03일,57.24
2019년 10월 27일,56.2
2019년 10월 20일,56.66
2019년 10월 13일,53.78
2019년 10월 06일,54.7
2019년 09월 29일,52.81
2019년 09월 22일,55.91
2019년 09월 15일,58.09
2019년 09월 08일,54.85
2019년 09월 01일,56.52
2019년 08월 25일,55.1
2019년 08월 18일,54.17
2019년 08월 11일,54.87
2019년 08월 04일,54.5
2019년 07월 28일,55.66
2019년 07월 21일,56.2
