Date,Dubai,,
08년01월02일,89.29,,
08년01월03일,92.03,,
08년01월04일,92.29,,
08년01월07일,91.54,,
08년01월08일,90.12,,
08년01월09일,90.68,,
08년01월10일,88.73,,
08년01월11일,87.5,,
08년01월14일,86.64,,
08년01월15일,87.98,,
08년01월16일,85.71,,
08년01월17일,85.75,,
08년01월18일,84.83,,
08년01월21일,83.73,,
08년01월22일,81.84,,
08년01월23일,83.76,,
08년01월24일,83.38,,
08년01월25일,85.54,,
08년01월28일,85.51,,
08년01월29일,87.19,,
08년01월30일,87.89,,
08년01월31일,87.25,,
08년02월01일,87.2,,
08년02월04일,85.22,,
08년02월05일,85.69,,
08년02월06일,84.2,,
08년02월07일,,,
08년02월08일,,,
08년02월11일,87.43,,
08년02월12일,88.71,,
08년02월13일,88.64,,
08년02월14일,89.35,,
08년02월15일,90.44,,
08년02월18일,90.56,,
08년02월19일,91.61,,
08년02월20일,92.69,,
08년02월21일,93.12,,
08년02월22일,91.8,,
08년02월25일,92.21,,
08년02월26일,92.27,,
08년02월27일,94.46,,
08년02월28일,92.65,,
08년02월29일,94.82,,
08년03월03일,94.87,,
08년03월04일,95.61,,
08년03월05일,93.2,,
08년03월06일,96.14,,
08년03월07일,96.26,,
08년03월10일,95.6,,
08년03월11일,97.43,,
08년03월12일,97.99,,
08년03월13일,99.03,,
08년03월14일,100.18,,
08년03월17일,100.67,,
08년03월18일,97.3,,
08년03월19일,98.89,,
08년03월20일,94.03,,
08년03월24일,94.25,,
08년03월25일,94.75,,
08년03월26일,95.96,,
08년03월27일,98.75,,
08년03월28일,98.74,,
08년03월31일,97.66,,
08년04월01일,94.76,,
08년04월02일,95.27,,
08년04월03일,96.91,,
08년04월04일,96.96,,
08년04월07일,99.27,,
08년04월08일,100.51,,
08년04월09일,99.63,,
08년04월10일,102.58,,
08년04월11일,102.16,,
08년04월14일,101.66,,
08년04월15일,103.66,,
08년04월16일,105.16,,
08년04월17일,106.39,,
08년04월18일,105.83,,
08년04월21일,107.96,,
08년04월22일,108.2,,
08년04월23일,109.26,,
08년04월24일,109.57,,
08년04월25일,108.04,,
08년04월28일,109.97,,
08년04월29일,109.13,,
08년04월30일,106.79,,
08년05월01일,,,
08년05월02일,104.86,,
08년05월05일,109.77,,
08년05월06일,113.25,,
08년05월07일,114.96,,
08년05월08일,116.48,,
08년05월09일,118.38,,
08년05월12일,120.2,,
08년05월13일,117.9,,
08년05월14일,119.4,,
08년05월15일,119.09,,
08년05월16일,118.45,,
08년05월19일,,,
08년05월20일,120.4,,
08년05월21일,123.69,,
08년05월22일,128.97,,
08년05월23일,126.44,,
08년05월24일,,,
08년05월26일,126.49,,
08년05월27일,126.48,,
08년05월28일,120.82,,
08년05월29일,123.92,,
08년05월30일,120.01,,
08년06월02일,120.98,,
08년06월03일,122.23,,
08년06월04일,118.99,,
08년06월05일,117.87,,
08년06월06일,122.76,,
08년06월09일,130.71,,
08년06월10일,127.66,,
08년06월11일,127.61,,
08년06월12일,130.16,,
08년06월13일,131.03,,
08년06월16일,128.72,,
08년06월17일,129.52,,
08년06월18일,128.4,,
08년06월19일,130.62,,
08년06월20일,127.09,,
08년06월23일,130.07,,
08년06월24일,130.88,,
08년06월25일,130.8,,
08년06월26일,128.41,,
08년06월27일,135.15,,
08년06월30일,136.16,,
08년07월01일,136.56,,
08년07월02일,136.73,,
08년07월03일,140.31,,
08년07월04일,140.7,,
08년07월07일,138.91,,
08년07월08일,137.51,,
08년07월09일,134.15,,
08년07월10일,132.81,,
08년07월11일,139.03,,
08년07월14일,139.01,,
08년07월15일,140.22,,
08년07월16일,134.05,,
08년07월17일,131.08,,
08년07월18일,128.15,,
08년07월21일,127.7,,
08년07월22일,129.01,,
08년07월23일,123.58,,
08년07월24일,120.99,,
08년07월25일,122.6,,
08년07월28일,121.28,,
08년07월29일,122.53,,
08년07월30일,119.96,,
08년07월31일,123.33,,
08년08월01일,120.4,,
08년08월04일,122.51,,
08년08월05일,117.32,,
08년08월06일,116.11,,
08년08월07일,115.3,,
08년08월08일,114.16,,
08년08월11일,113.21,,
08년08월12일,110.28,,
08년08월13일,109.69,,
08년08월14일,111.9,,
08년08월15일,108.09,,
08년08월18일,109.58,,
08년08월19일,107.93,,
08년08월20일,110.7,,
08년08월21일,112.24,,
08년08월22일,116.74,,
08년08월25일,111.34,,
08년08월26일,110.52,,
08년08월27일,111.52,,
08년08월28일,112.24,,
08년08월29일,111.03,,
08년09월01일,111.64,,
08년09월02일,101.65,,
08년09월03일,103.27,,
08년09월04일,104.75,,
08년09월05일,101.33,,
08년09월08일,101.83,,
08년09월09일,98.95,,
08년09월10일,97.92,,
08년09월11일,95.62,,
08년09월12일,95.46,,
08년09월15일,92.35,,
08년09월16일,86.56,,
08년09월17일,87.17,,
08년09월18일,88.37,,
08년09월19일,89.88,,
08년09월22일,95.1,,
08년09월23일,96.68,,
08년09월24일,97.11,,
08년09월25일,95.22,,
08년09월26일,95.76,,
08년09월29일,94.11,,
08년09월30일,87.94,,
08년10월01일,,,
08년10월02일,89.54,,
08년10월03일,85.41,,
08년10월06일,80.25,,
08년10월07일,77.99,,
08년10월08일,74.56,,
08년10월09일,76.54,,
08년10월10일,72,,
08년10월13일,70.93,,
08년10월14일,73.75,,
08년10월15일,68.59,,
08년10월16일,61.91,,
08년10월17일,61.31,,
08년10월20일,62.83,,
08년10월21일,63.53,,
08년10월22일,59.81,,
08년10월23일,58.54,,
08년10월24일,56.47,,
08년10월27일,,,
08년10월28일,54.94,,
08년10월29일,55.42,,
08년10월30일,60.56,,
08년10월31일,55.74,,
08년11월03일,60.44,,
08년11월04일,55.21,,
08년11월05일,59.36,,
08년11월06일,56.21,,
08년11월07일,53.81,,
08년11월10일,55.78,,
08년11월11일,52.78,,
08년11월12일,51.26,,
08년11월13일,47.35,,
08년11월14일,49.51,,
08년11월17일,47.92,,
08년11월18일,46.67,,
08년11월19일,45.89,,
08년11월20일,44.89,,
08년11월21일,42.91,,
08년11월24일,42.82,,
08년11월25일,46.13,,
08년11월26일,44.18,,
08년11월27일,47.24,,
08년11월28일,47.61,,
08년12월01일,47.39,,
08년12월02일,42.56,,
08년12월03일,41.86,,
08년12월04일,40.92,,
08년12월05일,38.91,,
08년12월08일,,,
08년12월09일,39.73,,
08년12월10일,39.28,,
08년12월11일,39.68,,
08년12월12일,42.53,,
08년12월15일,43.82,,
08년12월16일,42.55,,
08년12월17일,43.59,,
08년12월18일,42.45,,
08년12월19일,40.46,,
08년12월22일,40.44,,
08년12월23일,37.37,,
08년12월24일,36.88,,
08년12월26일,,,
08년12월29일,36.84,,
08년12월30일,36.74,,
08년12월31일,36.45,,
09년01월02일,42.88,,
09년01월05일,45.48,,
09년01월06일,48.53,,
09년01월07일,50.25,,
09년01월08일,45.71,,
09년01월09일,45.93,,
09년01월12일,44.29,,
09년01월13일,42.2,,
09년01월14일,44.93,,
09년01월15일,44.18,,
09년01월16일,45.1,,
09년01월19일,43.56,,
09년01월20일,40.69,,
09년01월21일,40.61,,
09년01월22일,42.15,,
09년01월23일,42.41,,
09년01월26일,,,
09년01월27일,,,
09년01월28일,42.59,,
09년01월29일,42.95,,
09년01월30일,43.9,,
09년02월02일,44.8,,
09년02월03일,42.74,,
09년02월04일,42.86,,
09년02월05일,43.42,,
09년02월06일,45.45,,
09년02월09일,45.12,,
09년02월10일,45.56,,
09년02월11일,44.6,,
09년02월12일,44.53,,
09년02월13일,44.36,,
09년02월16일,43.32,,
09년02월17일,42.75,,
09년02월18일,40.45,,
09년02월19일,40.1,,
09년02월20일,41.38,,
09년02월23일,41.44,,
09년02월24일,40.13,,
09년02월25일,41.39,,
09년02월26일,43.38,,
09년02월27일,44.05,,
09년03월02일,43.66,,
09년03월03일,41.24,,
09년03월04일,41.93,,
09년03월05일,43.98,,
09년03월06일,43.04,,
09년03월09일,43.71,,
09년03월10일,43.12,,
09년03월11일,43.1,,
09년03월12일,41.46,,
09년03월13일,44.03,,
09년03월16일,42.07,,
09년03월17일,43.77,,
09년03월18일,46.04,,
09년03월19일,46.62,,
09년03월20일,48.62,,
09년03월23일,49.61,,
09년03월24일,50.22,,
09년03월25일,50.16,,
09년03월26일,50.42,,
09년03월27일,50.87,,
09년03월30일,48.31,,
09년03월31일,46.8,,
09년04월01일,47.01,,
09년04월02일,48.24,,
09년04월03일,50.75,,
09년04월06일,52.58,,
09년04월07일,51.2,,
09년04월08일,49.17,,
09년04월09일,51.99,,
09년04월13일,52.15,,
09년04월14일,51.02,,
09년04월15일,51.46,,
09년04월16일,51.61,,
09년04월17일,51.16,,
09년04월20일,50.98,,
09년04월21일,48.58,,
09년04월22일,48.61,,
09년04월23일,48.25,,
09년04월24일,48.94,,
09년04월27일,48.72,,
09년04월28일,48.02,,
09년04월29일,49.2,,
09년04월30일,50.06,,
09년05월01일,,,
09년05월04일,52.62,,
09년05월05일,53.32,,
09년05월06일,53.97,,
09년05월07일,56.86,,
09년05월08일,56.76,,
09년05월11일,56.75,,
09년05월12일,57.37,,
09년05월13일,58.09,,
09년05월14일,56.52,,
09년05월15일,57.87,,
09년05월18일,58.09,,
09년05월19일,58.7,,
09년05월20일,58.59,,
09년05월21일,59.23,,
09년05월22일,59.51,,
09년05월25일,59.15,,
09년05월26일,58.28,,
09년05월27일,61.05,,
09년05월28일,61.23,,
09년05월29일,63.86,,
09년06월01일,66.28,,
09년06월02일,66.46,,
09년06월03일,67.72,,
09년06월04일,66.83,,
09년06월05일,69.08,,
09년06월08일,67.32,,
09년06월09일,69.24,,
09년06월10일,70.95,,
09년06월11일,71.19,,
09년06월12일,71.48,,
09년06월15일,70.73,,
09년06월16일,70.1,,
09년06월17일,70.18,,
09년06월18일,71.01,,
09년06월19일,71.36,,
09년06월22일,69.33,,
09년06월23일,66.58,,
09년06월24일,68.86,,
09년06월25일,69.07,,
09년06월26일,70.8,,
09년06월29일,69.39,,
09년06월30일,71.85,,
09년07월01일,69.91,,
09년07월02일,67.98,,
09년07월03일,66.72,,
09년07월06일,64.26,,
09년07월07일,64,,
09년07월08일,62.48,,
09년07월09일,61.74,,
09년07월10일,60.78,,
09년07월13일,60.5,,
09년07월14일,62.08,,
09년07월15일,62.03,,
09년07월16일,63.16,,
09년07월17일,63.19,,
09년07월20일,65.31,,
09년07월21일,64.9,,
